codigo,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,e1,e2
20230136,17,0,4,18,12,1,1,17,15,10,20,12,3,20,0,19
20230137,16,18,19,14,19,8,10,19,6,16,5,8,1,11,9,7
20230138,2,12,2,2,9,5,0,10,9,5,10,12,14,16,6,12
20230139,2,9,18,12,17,0,17,9,6,12,7,9,2,9,8,16
20230140,20,4,6,14,4,13,16,4,14,15,10,17,16,6,4,1
20230141,3,8,6,2,1,9,7,16,5,5,10,7,9,15,11,9
20230142,15,6,18,16,7,4,1,11,3,11,7,2,20,18,8,16
20230143,3,8,8,6,2,12,13,0,1,15,7,16,13,1,14,7
20230144,20,13,1,7,17,11,15,20,8,2,17,1,5,14,8,6
20230145,3,0,17,20,3,12,13,7,13,12,16,12,12,2,2,8
20230146,9,17,10,2,7,17,15,5,13,10,1,18,8,3,19,0
20230147,18,7,1,19,14,2,11,13,2,8,13,2,16,15,5,12
20230148,1,14,3,18,15,20,11,15,19,5,17,19,15,10,5,1
20230149,18,9,12,13,16,9,7,15,16,3,14,19,5,15,12,13
20230150,2,13,4,9,14,11,12,12,2,19,9,18,15,20,18,8
20230151,8,11,1,1,12,3,19,17,2,20,15,19,8,0,0,19
20230152,13,5,10,4,8,16,6,18,14,14,15,19,5,1,5,5
20230153,12,5,1,14,5,14,13,7,0,0,1,2,11,3,5,9
20230154,19,1,10,18,1,5,7,2,2,18,2,19,14,1,9,20
20230155,0,2,16,6,2,5,18,0,11,0,16,6,0,15,1,13
20230156,1,1,14,18,20,14,3,13,9,13,18,20,10,12,6,12
20230157,7,12,3,6,17,4,6,17,1,1,2,20,7,5,10,15
20230158,9,18,19,13,10,19,6,8,1,9,9,0,0,11,1,11
20230159,19,11,14,12,0,19,12,0,7,1,0,6,11,4,3,15
20230160,4,8,20,12,4,20,2,6,2,0,13,9,11,2,19,2
20230161,11,10,6,2,15,16,5,6,10,10,0,17,10,16,5,11
20230162,2,10,5,19,7,16,10,20,17,0,3,7,6,3,20,20
20230163,1,16,18,3,5,13,15,4,16,20,0,11,13,13,3,19
20230164,12,8,20,7,11,2,17,0,20,15,13,3,13,11,10,12
20230165,19,14,3,10,14,3,14,10,13,18,19,18,4,8,20,14
20230166,10,1,11,1,19,11,7,2,15,3,9,10,1,10,16,1
20230167,11,20,17,8,9,10,6,1,15,15,16,17,16,16,13,2
20230168,2,13,8,12,15,1,6,7,4,4,6,11,11,2,8,3
20230169,15,13,19,3,10,8,7,6,0,11,12,5,11,17,6,14
20230170,3,9,11,16,9,17,5,16,20,16,0,12,19,2,0,17
20230171,17,14,8,9,14,20,12,6,12,5,3,4,11,2,14,18
20230172,11,16,12,18,2,11,1,17,9,19,5,1,3,9,20,1
20230173,16,20,0,8,19,0,4,18,5,3,18,6,10,17,15,5
20230174,15,1,12,18,2,13,9,9,10,8,1,16,3,1,10,18
20230175,12,0,17,20,10,0,0,13,7,6,13,4,7,13,9,0
20230176,4,3,5,12,9,19,13,12,9,5,10,20,15,1,12,12
20230177,5,7,11,9,19,18,0,3,20,16,3,9,17,7,14,10
20230178,4,2,4,8,15,18,10,0,0,4,4,14,8,12,1,16
20230179,2,6,4,18,18,6,6,18,6,11,12,3,18,14,1,19
20230180,15,15,8,20,16,0,18,6,9,19,6,0,7,15,5,16
20230181,11,1,4,6,10,16,20,12,2,4,7,14,13,13,14,16
20230182,19,17,2,11,11,16,18,3,20,20,15,5,3,3,6,18
20230183,13,2,10,18,11,16,11,14,13,9,17,15,10,17,5,8
20230184,9,13,0,2,18,14,4,7,12,11,6,6,7,3,4,8
20230185,7,14,16,15,15,11,5,7,1,4,3,2,14,17,0,15
20230186,7,15,18,6,5,5,12,12,17,3,6,16,5,3,9,15
20230187,15,0,14,17,18,7,8,6,5,15,3,18,15,6,1,11
20230188,11,3,6,12,10,12,17,10,10,9,14,10,18,1,7,12
20230189,2,1,13,8,1,14,20,18,6,5,5,19,19,6,1,5
20230190,12,15,13,8,15,0,3,6,19,11,10,10,2,7,3,5
20230191,17,20,20,5,5,5,6,7,12,13,10,20,10,13,2,9
20230192,7,16,15,11,2,2,16,11,12,10,10,5,18,11,6,19
20230193,14,8,14,0,7,4,16,8,13,4,17,11,9,0,8,17
20230194,13,2,15,20,12,9,18,0,12,11,8,18,17,5,20,10
20230195,16,14,18,9,15,0,19,20,0,12,0,0,20,11,3,13
20230196,4,8,9,4,19,17,20,10,19,5,2,1,14,6,13,6
20230197,1,16,2,7,1,15,4,8,20,19,15,2,13,14,3,13
20230198,2,7,2,18,10,19,1,17,11,2,10,19,8,15,18,5
20230199,11,8,19,2,18,20,17,15,20,20,18,20,13,19,7,18
20230200,18,1,17,17,12,19,1,6,5,0,18,8,19,12,11,14
